Species Info_ Galapagos Summer 
Species,Species.Fullname,Organism.ID,Phylum ,Functional group ,Habitat,Light_Dark
Egala,Eucidaris galapagensis,EgalaBk_1,Echinodermata,Herbivore,Subtidal,Dark
Egala,Eucidaris galapagensis,Egala_2,Echinodermata,Herbivore,Subtidal,Dark
Egala,Eucidaris galapagensis,Egala_3,Echinodermata,Herbivore,Subtidal,Dark
Egala,Eucidaris galapagensis,Egala_4,Echinodermata,Herbivore,Subtidal,Dark
Egala,Eucidaris galapagensis,Egala_5,Echinodermata,Herbivore,Subtidal,Dark
Egala,Eucidaris galapagensis,Egala_6,Echinodermata,Herbivore,Subtidal,Dark
Egala,Eucidaris galapagensis,EgalaBk_7,Echinodermata,Herbivore,Subtidal,Dark
Egala,Eucidaris galapagensis,Egala_8,Echinodermata,Herbivore,Subtidal,Dark
Egala,Eucidaris galapagensis,Egala_9,Echinodermata,Herbivore,Subtidal,Dark
Egala,Eucidaris galapagensis,Egala_10,Echinodermata,Herbivore,Subtidal,Dark
Lsemi,Lytechinus semitubercalatus,Lsemi_1,Echinodermata,Herbivore,Subtidal,Dark
Lsemi,Lytechinus semitubercalatus,LsemiBk_2,Echinodermata,Herbivore,Subtidal,Dark
Lsemi,Lytechinus semitubercalatus,Lsemi_3,Echinodermata,Herbivore,Subtidal,Dark
Lsemi,Lytechinus semitubercalatus,LsemiBk_4,Echinodermata,Herbivore,Subtidal,Dark
Lsemi,Lytechinus semitubercalatus,Lsemi_5,Echinodermata,Herbivore,Subtidal,Dark
Lsemi,Lytechinus semitubercalatus,Lsemi_6,Echinodermata,Herbivore,Subtidal,Dark
Lsemi,Lytechinus semitubercalatus,Lsemi_7,Echinodermata,Herbivore,Subtidal,Dark
Lsemi,Lytechinus semitubercalatus,Lsemi_8,Echinodermata,Herbivore,Subtidal,Dark
Lsemi,Lytechinus semitubercalatus,Lsemi_9,Echinodermata,Herbivore,Subtidal,Dark
Lsemi,Lytechinus semitubercalatus,Lsemi_10,Echinodermata,Herbivore,Subtidal,Dark
Ggrap,Grapsus grapsus ,Ggrap_1,Arthropoda,Detritivore,Intertidal,Dark
Ggrap,Grapsus grapsus ,Ggrap_2,Arthropoda,Detritivore,Intertidal,Dark
Ggrap,Grapsus grapsus ,Ggrap_3,Arthropoda,Detritivore,Intertidal,Dark
Ggrap,Grapsus grapsus ,Ggrap_4,Arthropoda,Detritivore,Intertidal,Dark
