ID,Intercept,umol.L.sec,Temp.C,Light_Dark
Acali_1_14C,253.0057692,-0.00337149,14.7393481,NA
Acali_1_18C,248.7404696,-0.002845774,18.07076503,NA
Acali_1_22C,239.7768981,-0.004120083,22.11532515,NA
Acali_1_26C,222.8008501,-0.008511677,25.86925309,NA
Acali_1_28C,208.8692904,-0.007583055,27.94325949,NA
Acali_1_30C,196.2584955,-0.006840017,30.01930263,NA
Acali_1_32C,183.0676948,-0.006235507,31.93715,NA
Acali_1_34C,167.7871589,-0.006278698,34.03510651,NA
Acali_1_36C,150.7453955,-0.007751873,36.12373077,NA
Acali_10_14C,266.5247059,-0.001640105,14.24827044,NA
Acali_10_18C,263.1784324,-0.001739625,18.03555152,NA
Acali_10_22C,249.1569332,-0.002042743,22.2394306,NA
Acali_10_26C,236.8604061,-0.006102023,25.83120988,NA
Acali_10_28C,223.1954926,-0.005560941,27.86298734,NA
Acali_10_30C,208.1783394,-0.005255651,29.9327875,NA
Acali_10_32C,193.225752,-0.005373741,31.88745161,NA
Acali_10_34C,177.5928614,-0.0062097,33.94502976,NA
Acali_10_36C,159.3015022,-0.007369181,36.08843094,NA
Acali_3_14C,252.3192798,-0.002472869,14.51410063,NA
Acali_3_18C,247.9138302,-0.003276774,18.04091758,NA
Acali_3_22C,238.3306686,-0.005530785,22.17239877,NA
Acali_3_26C,218.4627594,-0.008801909,25.82114815,NA
Acali_3_28C,210.5456139,-0.009149062,27.78610063,NA
Acali_3_30C,195.3507843,-0.008424522,29.98358642,NA
Acali_3_32C,182.2546299,-0.007243813,31.89076101,NA
Acali_3_34C,167.9120759,-0.006131564,33.9866213,NA
Acali_3_36C,150.4065155,-0.006601571,36.12007143,NA
Acali_4_14C,232.2477208,-0.002129464,14.50151572,NA
Acali_4_18C,227.1242862,-0.002039804,18.07497253,NA
Acali_4_22C,217.8927625,-0.003587664,22.24546012,NA
Acali_4_26C,204.0361702,-0.005325007,25.85574691,NA
Acali_4_28C,192.4145858,-0.006280245,27.85871069,NA
Acali_4_30C,178.5758405,-0.004685263,30.02403704,NA
Acali_4_32C,166.8533992,-0.004888557,31.85519497,NA
Acali_4_34C,152.5397177,-0.004744447,34.0266568,NA
Acali_4_36C,137.5672611,-0.00551465,36.16450829,NA
Acali_6_14C,257.6542052,-0.004335402,14.60526415,NA
Acali_6_18C,253.9597103,-0.002552701,18.08509341,NA
Acali_6_22C,243.0294359,-0.008102281,22.445,NA
Acali_6_26C,226.6506047,-0.007054123,25.86825309,NA
Acali_6_28C,214.7636567,-0.007651825,27.89888679,NA
Acali_6_30C,198.1044381,-0.006986014,29.91107453,NA
Acali_6_32C,184.9793109,-0.007586877,31.94379874,NA
Acali_6_34C,169.6647489,-0.007724165,34.05184524,NA
Acali_6_36C,151.7076407,-0.008153206,36.17214917,NA
Acali_7_14C,245.0574893,-0.001759904,14.62,NA
Acali_7_18C,241.4742313,-0.002271337,18.14179121,NA
Acali_7_22C,232.2217317,-0.007635808,22.34275333,NA
Acali_7_26C,217.2528773,-0.005824432,25.93146914,NA
Acali_7_28C,204.210553,-0.005002371,27.9731962,NA
Acali_7_30C,189.687214,-0.007349237,30.03622981,NA
Acali_7_32C,175.7438122,-0.006102861,32.02941509,NA
Acali_7_34C,161.5327864,-0.004999315,34.11389881,NA
Acali_7_36C,144.647562,-0.006533982,36.22152486,NA
Acali_8_14C,247.8934158,-0.001913166,14.50798742,NA
Acali_8_18C,244.1848137,-0.002374605,18.08533516,NA
Acali_8_22C,234.7019479,-0.004186452,22.22522561,NA
Acali_8_26C,219.8376327,-0.006189398,25.82555556,NA
Acali_8_28C,206.0429593,-0.007916328,27.86837342,NA
Acali_8_30C,192.9839735,-0.005857439,29.88451875,NA
Acali_8_32C,178.8851719,-0.006618071,31.9083522,NA
Acali_8_34C,164.1812448,-0.005569502,34.01000592,NA
Acali_8_36C,147.4594408,-0.007009285,36.07725414,NA
Acali_9_14C,252.7067093,-0.002754927,14.64849686,NA
Acali_9_18C,249.3073938,-0.002585092,18.06937912,NA
Acali_9_22C,240.0748357,-0.005093255,22.22761585,NA
Acali_9_26C,222.6525191,-0.007334893,25.85778395,NA
Acali_9_28C,211.5043974,-0.006136749,27.89275949,NA
Acali_9_30C,196.9853578,-0.00479195,29.91400625,NA
Acali_9_32C,182.8829421,-0.007686869,31.94537736,NA
Acali_9_34C,168.8552886,-0.006363729,34.02421429,NA
Acali_9_36C,151.5991078,-0.008005331,36.11933149,NA
AcaliBk_2_14C,259.2084838,-0.001314219,14.35035849,NA
AcaliBk_2_18C,254.3163642,-0.001008057,18.69077512,NA
AcaliBk_2_22C,242.3867197,-0.006479653,22.2851227,NA
AcaliBk_2_26C,227.9299219,-0.007507904,25.93314815,NA
AcaliBk_2_28C,214.5246896,-0.006144423,27.94908176,NA
AcaliBk_2_30C,199.4859677,-0.005395535,30.08703704,NA
AcaliBk_2_32C,186.0464269,-0.004414279,31.98390506,NA
AcaliBk_2_34C,171.3245418,-0.004199977,34.07968047,NA
AcaliBk_2_36C,153.2735549,-0.004556941,36.21800549,NA
AcaliBk_5_14C,255.703244,-0.000671792,14.37040881,NA
AcaliBk_5_18C,252.6393083,-0.000651109,18.08468132,NA
AcaliBk_5_22C,242.4180469,-0.00277731,22.27750307,NA
AcaliBk_5_26C,226.0281015,-0.004973625,25.88771605,NA
AcaliBk_5_28C,215.1301944,-0.004540893,27.90165409,NA
AcaliBk_5_30C,200.1346422,-0.002689804,30.00732919,NA
AcaliBk_5_32C,186.2421404,-0.002592888,31.93915723,NA
AcaliBk_5_34C,170.2047645,-0.002764041,34.03518343,NA
AcaliBk_5_36C,153.1565023,-0.003965206,36.19151381,NA
Anigr_1_14C,253.7974306,-0.001327596,13.5314,NA
Anigr_1_18C,252.4496702,-0.002364237,18.21162295,NA
Anigr_1_22C,240.9712768,-0.003351668,22.21969634,NA
Anigr_1_26C,226.5894218,-0.006065348,26.38793103,NA
Anigr_1_28C,206.6931189,-0.005326936,27.87688199,NA
Anigr_1_30C,194.9215317,-0.005984706,29.96909317,NA
Anigr_1_32C,181.2699336,-0.006496113,31.94933333,NA
Anigr_1_34C,169.2382316,-0.007900304,33.80592593,NA
Anigr_1_36C,155.3358258,-0.00747653,36.01716456,NA
Anigr_1_38C,143.5221836,-0.004842035,37.62980357,NA
Anigr_1_40C,126.5055038,-0.003404085,39.85659355,NA
Anigr_2_14C,256.8387782,-0.001188938,13.58806627,NA
Anigr_2_18C,254.6388186,-0.001644229,18.25055191,NA
Anigr_2_22C,242.7142363,-0.003474018,22.29023958,NA
Anigr_2_26C,227.2528487,-0.004410141,26.22083735,NA
Anigr_2_28C,209.609206,-0.004723899,27.95178125,NA
Anigr_2_30C,196.9414461,-0.005114922,30.01419375,NA
Anigr_2_32C,182.8633103,-0.005597063,31.96384242,NA
Anigr_2_34C,170.7980505,-0.007184728,33.8769321,NA
Anigr_2_36C,156.9642873,-0.006826113,36.08114557,NA
Anigr_2_38C,144.8513894,-0.004816277,37.6692619,NA
Anigr_2_40C,128.1215893,-0.002377902,39.88169032,NA
Anigr_3_14C,253.6163542,-0.000861727,13.33421818,NA
Anigr_3_18C,251.4375339,-0.001552918,18.14808197,NA
Anigr_3_22C,240.3662815,-0.003413336,22.17956771,NA
Anigr_3_26C,224.5228763,-0.006497618,26.13445181,NA
Anigr_3_28C,207.300431,-0.003543591,27.84192453,NA
Anigr_3_30C,194.6975407,-0.004562352,29.98163975,NA
Anigr_3_32C,181.679324,-0.005313793,31.86874545,NA
Anigr_3_34C,169.4026253,-0.006874537,33.81971605,NA
Anigr_3_36C,156.2057893,-0.006549798,35.99644304,NA
Anigr_3_38C,143.1679334,-0.004194783,37.64393452,NA
Anigr_3_40C,127.0395262,-0.002480701,39.80466026,NA
Anigr_4_14C,233.0261608,-0.00183338,13.35845455,NA
Anigr_4_18C,229.8531881,-0.001487428,18.13472678,NA
Anigr_4_22C,219.174902,-0.002948298,22.1943125,NA
Anigr_4_26C,204.7077472,-0.005111755,26.12593373,NA
Anigr_4_28C,188.8377152,-0.004529229,27.87126582,NA
Anigr_4_30C,177.147375,-0.005710093,29.96782609,NA
Anigr_4_32C,164.5799536,-0.005202401,31.86982424,NA
Anigr_4_34C,154.0239183,-0.005923577,33.83791358,NA
Anigr_4_36C,141.7120122,-0.005969162,35.951,NA
Anigr_4_38C,130.5846139,-0.004891952,37.5422381,NA
Anigr_4_40C,115.539918,-0.002337402,39.83054487,NA
Anigr_5_14C,254.6382321,-0.00059772,13.50228485,NA
Anigr_5_18C,252.6663471,-0.00101358,18.16297814,NA
Anigr_5_22C,242.0310705,-0.004617791,22.23784817,NA
Anigr_5_26C,225.7503886,-0.005801311,26.18392982,NA
Anigr_5_28C,208.6806134,-0.003252704,27.89788679,NA
Anigr_5_30C,195.5453779,-0.004318845,30.0198,NA
Anigr_5_32C,182.3377476,-0.00391658,31.95235152,NA
Anigr_5_34C,170.0048987,-0.005840021,33.85111111,NA
Anigr_5_36C,156.3765142,-0.006086443,36.02127848,NA
Anigr_5_38C,144.681449,-0.003637164,37.62283929,NA
Anigr_5_40C,127.8800266,-0.002193897,39.83942949,NA
Anigr_6_14C,256.6456808,-0.001064898,13.50957576,NA
Anigr_6_18C,254.5753608,-0.001772917,18.22501093,NA
Anigr_6_22C,243.0067228,-0.003424992,22.35580208,NA
Anigr_6_26C,225.3454332,-0.008064188,26.17057831,NA
Anigr_6_28C,209.6644851,-0.004037791,27.88996855,NA
Anigr_6_30C,196.4394452,-0.005738349,29.98440881,NA
Anigr_6_32C,183.269974,-0.004922163,31.95544242,NA
Anigr_6_34C,170.6563028,-0.005895807,33.90801235,NA
Anigr_6_36C,156.7231634,-0.006161672,36.08027848,NA
Anigr_6_38C,144.0435494,-0.00428651,37.74672781,NA
Anigr_6_40C,127.3873508,-0.002367702,39.97652564,NA
Anigr_7_14C,248.2916621,-0.003897413,13.66795758,NA
Anigr_7_18C,243.6364955,-0.001209318,18.25084699,NA
Anigr_7_22C,232.5425297,-0.00285428,22.35030729,NA
Anigr_7_26C,217.5086799,-0.005909696,26.25012048,NA
Anigr_7_28C,199.5645356,-0.004164734,27.96408805,NA
Anigr_7_30C,187.4298556,-0.004436452,30.11215385,NA
Anigr_7_32C,174.6422139,-0.005074099,31.98847879,NA
Anigr_7_34C,162.399422,-0.005993636,33.94927778,NA
