Species,Organism.ID,Blank ,Initial Volume (ml),Pre Burn Dry,Post Burn ,AFDW
Egala,EgalaBk_1,1,0,0,0,0
Egala,Egala_2,,43,25.918,24.054,1.864
Egala,Egala_3,,57,24.969,22.971,1.998
Egala,Egala_4,,43,16.803,15.465,1.338
Egala,Egala_5,,50,23.177,21.365,1.812
Egala,Egala_6,,28,18.273,17.127,1.146
Egala,EgalaBk_7,1,0,0,0,0
Egala,Egala_8,,57,25.067,22.708,2.359
Egala,Egala_9,,49,18.998,17.372,1.626
Egala,Egala_10,,38,19.752,18.228,1.524
Lsemi,Lsemi_1,,30,12.051,10.196,1.855
Lsemi,LsemiBk_2,1,0,0,0,0
Lsemi,Lsemi_3,,35,11.372,9.499,1.873
Lsemi,LsemiBk_4,1,0,0,0,0
Lsemi,Lsemi_5,,45,16.33,13.706,2.624
Lsemi,Lsemi_6,,45,10.621,8.533,2.088
Lsemi,Lsemi_7,,55,15.352,13.151,2.201
Lsemi,Lsemi_8,,40,7.554,6.104,1.45
Lsemi,Lsemi_9,,43,9.385,7.534,1.851
Lsemi,Lsemi_10,,42,12.258,10.155,2.103
Ggrap,Ggrap_1,,6,2.046,0.784,1.262
Ggrap,Ggrap_2,,15,2.416,0.802,1.614
Ggrap,Ggrap_3,,13,1.423,0.529,0.894
Ggrap,Ggrap_4,,9,0.513,0.183,0.33
Ggrap,GgrapBk_5,1,0,0,0,0
Ggrap,Ggrap_6,,16,2.238,0.76,1.478
Ggrap,Ggrap_7,,5,0.654,0.25,0.404
Ggrap,GgrapBk_8,1,0,0,0,0
Ggrap,Ggrap_9,,12,2.49,0.854,1.636
Ggrap,Ggrap_10,,25,4.85,1.627,3.223
Cexpl,CexplBk_1,1,0,0,0,0
Cexpl,Cexpl_2,,8,9.771,9.447,0.324
Cexpl,Cexpl_3,,10,8.588,8.2,0.388
Cexpl,Cexpl_4,,7,5.973,5.702,0.271
Cexpl,Cexpl_5,,8,6.719,6.548,0.171
Cexpl,Cexpl_6,,8,7.959,7.713,0.246
Cexpl,CexplBk_7,1,0,0,0,0
Cexpl,Cexpl_8,,7,9.745,9.539,0.206
Cexpl,Cexpl_9,,5,4.189,3.982,0.207
Cexpl,Cexpl_10,,6,5.919,5.802,0.117
Tmelo,Tmelo_1,,4,7.365,7.005,0.36
Tmelo,Tmelo_2,,6,6.785,6.445,0.34
Tmelo,TmeloBk_3,1,0,0,0,0
Tmelo,Tmelo_4,,7,5.837,5.573,0.264
Tmelo,Tmelo_5,,16,14.812,14.03,0.782
Tmelo,TmeloBk_6,1,0,0,0,0
Tmelo,Tmelo_7,,10,5.667,5.422,0.245
Tmelo,Tmelo_8,,7,7.861,7.533,0.328
Tmelo,Tmelo_9,,3,4.069,3.871,0.198
Tmelo,Tmelo_10,,6,6.784,6.445,0.339
Tcoc,Tcoc_1,,11,8.046,7.413,0.633
Tcoc,Tcoc_2,,23,7.529,6.796,0.733
Tcoc,TcocBk_3,1,0,0,0,0
Tcoc,Tcoc_4,,20,5.745,5.058,0.687
Tcoc,Tcoc_5,,40,21.462,18.925,2.537
Tcoc,TcocBk_6,1,0,0,0,0
Tcoc,Tcoc_7,,3,1.65,1.463,0.187
Tcoc,Tcoc_8,,35,8.198,7.318,0.88
Tcoc,Tcoc_9,,13,3.918,3.489,0.429
Tcoc,Tcoc_10,,17,10.693,9.411,1.282
Bgran,Bgran_1,,6,0.665,0.066,0.599
Bgran,Bgran_2,,3,0.354,0.038,0.316
Bgran,Bgran_3,,2,0.21,0.021,0.189
Bgran,BgranBk_4,1,0,0,0,0
Bgran,Bgran_5,,8,0.644,0.062,0.582
Bgran,Bgran_6,,9,0.562,0.052,0.51
Bgran,Bgran_7,,11,0.756,0.089,0.667
Bgran,Bgran_8,,6,0.205,0.022,0.183
