ID,Organism.ID
Secu_8_38C,Secu_8
SecuBk_1_26C,SecuBk_1
Ulva_10_26C_D,Ulva_10_D
Egala_5_40C,Egala_5
Tmelo_10_26C,Tmelo_10
TmeloBk_6_22C,TmeloBk_6
Egala2_10_31C,Egala2_10
Padi_1_32C,Padi_1
SargBk_10_28C,SargBk_10
Acali_1_30C,Acali_1
Acali_7_28C,Acali_7
Acali_9_22C,Acali_9
AcaliBk_2_28C,AcaliBk_2
Anigr_1_22C,Anigr_1
Bgran_3_22C,Bgran_3
Blank_6_26C,Blank_6
Lsemi_6_26C,Lsemi_6
Tmelo_10_14C,Tmelo_10
Tcoc_1_32C,Tcoc_1
Tcoc_2_32C,Tcoc_2
Tcoc_4_32C,Tcoc_4
Tcoc_5_32C,Tcoc_5
Tcoc_8_32C,Tcoc_8
Tcoc_9_32C,Tcoc_9
TcocBK_6_32C,TcocBK_6
Tmelo_8_40C,Tmelo_8
Tplan_10_18C,Tplan_10
TmeloBk_6_18C,TmeloBk_6
Padi_4_28C,Padi_4
Grac_6_30C,Grac_6
Ulva_3_32C,Ulva_3
Padi_6_28C,Padi_6
Padi_6_34C,Padi_6
Ulva_2_22C,Ulva_2
Ulva_4_18C,Ulva_4
Ulva_9_32C_D,Ulva_9_D
Ulva_10_32C_D,Ulva_10_D
Padi_7_18C,Padi_7
Secu_8_36C_D,Secu_8_D
Secu_8_18C_D,Secu_9_D
Padi_2_34C,Padi_2
Padi_7_34C,Padi_7
Secu_8_14C,Secu_8
Sarg_1_18C_D,Sarg_1_D
Secu_6_18C,Secu_6
Secu_7_40C_D,Secu_7_D
Secu_9_26C,Secu_9
Secu_10_40C_D,Secu_10_D
Ulva_2_30C,Ulva_2
Ulva_3_14C,Ulva_3
Ulva_6_28C_D,Ulva_6_D
Ulva_6_38C,Ulva_6
Ulva_10_30C,Ulva_10
UlvaBk_7_30C_D,UlvaBk_7_D
Grac_5_14C,Grac_5
Grac_10_14C_D,Grac_10_D
Padi_3_41C_D,Padi_3_D
Padi_5_41C,Padi_5
Padi_7_36C,Padi_7
Padi_10_26C,Padi_10
Secu_3_36C_D,Secu_3_D
Secu_6_14C,Secu_6
Secu_7_38C_D,Secu_7_D
Secu_10_38C_D,Secu_10_D
Tmelo_Bk_3_33C,TmeloBk_3
Ulva_2_34C_D,Ulva_2_D
UlvaBk_7_32C_D,UlvaBk_7_D
Padi_2_18C,Padi_2
Padi_6_30C,Padi_6
Sarg_2_34C,Sarg_2
