Species,Organism.ID,Light_Dark
Egala,EgalaBk_1,Dark
Egala,Egala_2,Dark
Egala,Egala_3,Dark
Egala,Egala_4,Dark
Egala,Egala_5,Dark
Egala,Egala_6,Dark
Egala,EgalaBk_7,Dark
Egala,Egala_8,Dark
Egala,Egala_9,Dark
Egala,Egala_10,Dark
Lsemi,Lsemi_1,Dark
Lsemi,LsemiBk_2,Dark
Lsemi,Lsemi_3,Dark
Lsemi,LsemiBk_4,Dark
Lsemi,Lsemi_5,Dark
Lsemi,Lsemi_6,Dark
Lsemi,Lsemi_7,Dark
Lsemi,Lsemi_8,Dark
Lsemi,Lsemi_9,Dark
Lsemi,Lsemi_10,Dark
Ggrap,Ggrap_1,Dark
Ggrap,Ggrap_2,Dark
Ggrap,Ggrap_3,Dark
Ggrap,Ggrap_4,Dark
Ggrap,GgrapBk_5,Dark
Ggrap,Ggrap_6,Dark
Ggrap,Ggrap_7,Dark
Ggrap,GgrapBk_8,Dark
Ggrap,Ggrap_9,Dark
Ggrap,Ggrap_10,Dark
Cexpl,CexplBk_1,Dark
Cexpl,Cexpl_2,Dark
Cexpl,Cexpl_3,Dark
Cexpl,Cexpl_4,Dark
Cexpl,Cexpl_5,Dark
Cexpl,Cexpl_6,Dark
Cexpl,CexplBk_7,Dark
Cexpl,Cexpl_8,Dark
Cexpl,Cexpl_9,Dark
Cexpl,Cexpl_10,Dark
Tmelo,Tmelo_1,Dark
Tmelo,Tmelo_2,Dark
Tmelo,TmeloBk_3,Dark
Tmelo,Tmelo_4,Dark
Tmelo,Tmelo_5,Dark
Tmelo,TmeloBk_6,Dark
Tmelo,Tmelo_7,Dark
Tmelo,Tmelo_8,Dark
Tmelo,Tmelo_9,Dark
Tmelo,Tmelo_10,Dark
Tcoc,Tcoc_1,Dark
Tcoc,Tcoc_2,Dark
Tcoc,TcocBk_3,Dark
Tcoc,Tcoc_4,Dark
Tcoc,Tcoc_5,Dark
Tcoc,TcocBk_6,Dark
Tcoc,Tcoc_7,Dark
Tcoc,Tcoc_8,Dark
Tcoc,Tcoc_9,Dark
Tcoc,Tcoc_10,Dark
Bgram,Bgram_1,Dark
Bgram,Bgram_2,Dark
Bgram,Bgram_3,Dark
Bgram,BgramBk_4,Dark
Bgram,Bgram_5,Dark
Bgram,Bgram_6,Dark
Bgram,Bgram_7,Dark
Bgram,Bgram_8,Dark
Bgram,BgramBk_9,Dark
Bgram,Bgram_10,Dark
Tplan,TplanBk_1,Dark
Tplan,Tplan_2,Dark
Tplan,TplanBk_3,Dark
Tplan,Tplan_4,Dark
Tplan,Tplan_5,Dark
Tplan,Tplan_6,Dark
Tplan,Tplan_7,Dark
Tplan,Tplan_8,Dark
Tplan,Tplan_9,Dark
Tplan,Tplan_10,Dark
Ltube ,Ltube_1,Dark
Ltube ,Ltube_2,Dark
Ltube ,LtubeBk_3,Dark
Ltube ,Ltube_4,Dark
Ltube ,Ltube_5,Dark
Ltube ,Ltube_6,Dark
Ltube ,Ltube_7,Dark
Ltube ,Ltube_8,Dark
Ltube ,LtubeBk_9,Dark
Ltube ,Ltube_10,Dark
Prubr,Prubr_1,Dark
Prubr,Prubr_2,Dark
Prubr,Prubr_3,Dark
Prubr,PrubrBk_4,Dark
Prubr,Prubr_5,Dark
Prubr,PrubrBk_6,Dark
